"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-May-2024","EQ","1,482.00","1,504.55","1,462.70","1,482.30","1,487.50","1,489.15","1,488.85","1,519.00","915.45","43,89,470","6,53,52,72,971.15","1,99,375"
"22-May-2024","EQ","1,450.95","1,494.80","1,437.25","1,442.30","1,482.50","1,482.30","1,473.16","1,519.00","915.45","42,16,347","6,21,13,42,887.75","1,59,778"
"21-May-2024","EQ","1,410.00","1,445.95","1,396.40","1,404.05","1,443.00","1,442.30","1,426.17","1,519.00","915.45","29,39,271","4,19,19,14,259.35","1,16,334"
"18-May-2024","EQ","1,403.90","1,407.30","1,400.25","1,399.05","1,403.00","1,404.05","1,404.48","1,519.00","896.85","60,540","8,50,27,440.15","3,903"
"17-May-2024","EQ","1,417.10","1,419.90","1,396.40","1,421.10","1,398.00","1,399.05","1,402.91","1,519.00","896.85","34,43,452","4,83,08,42,207.00","1,23,914"
"16-May-2024","EQ","1,409.00","1,425.90","1,387.30","1,406.70","1,420.65","1,421.10","1,408.34","1,519.00","896.85","32,26,214","4,54,36,08,971.40","1,71,189"
"15-May-2024","EQ","1,395.00","1,428.45","1,386.70","1,357.35","1,405.50","1,406.70","1,408.69","1,519.00","896.85","78,93,092","11,11,88,86,469.65","2,26,751"
"14-May-2024","EQ","1,410.00","1,410.00","1,350.10","1,414.65","1,358.20","1,357.35","1,373.83","1,519.00","896.85","37,21,994","5,11,33,97,042.45","1,40,363"
"13-May-2024","EQ","1,371.00","1,425.95","1,369.55","1,339.55","1,421.00","1,414.65","1,410.56","1,519.00","896.85","79,10,590","11,15,83,52,655.75","1,77,997"
"10-May-2024","EQ","1,371.35","1,396.90","1,317.25","1,358.80","1,340.00","1,339.55","1,353.14","1,519.00","896.85","50,80,539","6,87,46,91,683.55","1,91,937"
"09-May-2024","EQ","1,387.85","1,392.20","1,353.00","1,384.75","1,365.85","1,358.80","1,365.22","1,519.00","896.85","11,52,636","1,57,36,05,559.25","1,21,933"
"08-May-2024","EQ","1,375.05","1,398.15","1,375.05","1,387.20","1,385.90","1,384.75","1,389.70","1,519.00","896.85","14,97,782","2,08,14,69,719.85","76,688"
"07-May-2024","EQ","1,423.40","1,428.85","1,377.75","1,423.40","1,390.00","1,387.20","1,390.73","1,519.00","896.85","10,85,239","1,50,92,74,996.95","1,08,773"
"06-May-2024","EQ","1,431.00","1,431.85","1,405.05","1,424.75","1,424.00","1,423.40","1,418.82","1,519.00","896.85","9,29,301","1,31,85,12,831.25","68,809"
"03-May-2024","EQ","1,428.00","1,434.00","1,415.20","1,420.05","1,425.20","1,424.75","1,424.53","1,519.00","896.85","8,04,513","1,14,60,51,509.30","67,076"
"02-May-2024","EQ","1,400.00","1,426.00","1,398.15","1,400.00","1,421.00","1,420.05","1,417.31","1,519.00","896.85","15,40,210","2,18,29,59,623.90","1,48,341"
"30-Apr-2024","EQ","1,415.05","1,418.95","1,395.05","1,408.00","1,400.55","1,400.00","1,404.93","1,519.00","896.85","13,27,606","1,86,51,97,382.55","68,240"
"29-Apr-2024","EQ","1,419.00","1,420.10","1,392.40","1,409.15","1,410.95","1,408.00","1,402.18","1,519.00","896.85","10,82,487","1,51,78,37,268.55","54,222"
"26-Apr-2024","EQ","1,413.10","1,417.20","1,401.25","1,406.20","1,413.00","1,409.15","1,410.03","1,519.00","896.30","6,95,034","98,00,16,530.75","56,118"
"25-Apr-2024","EQ","1,407.00","1,410.45","1,384.10","1,398.20","1,400.00","1,406.20","1,399.83","1,519.00","896.30","20,27,213","2,83,77,51,976.85","1,01,882"
"24-Apr-2024","EQ","1,353.45","1,401.90","1,352.20","1,346.70","1,399.50","1,398.20","1,387.06","1,519.00","896.30","44,15,480","6,12,45,52,560.60","1,46,983"
"23-Apr-2024","EQ","1,369.75","1,369.75","1,344.50","1,354.85","1,348.50","1,346.70","1,357.74","1,519.00","896.30","10,31,497","1,40,05,09,184.00","77,029"
"22-Apr-2024","EQ","1,350.25","1,361.95","1,348.00","1,345.75","1,359.00","1,354.85","1,355.61","1,519.00","896.30","9,74,434","1,32,09,54,856.70","67,894"
